DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040419,1.34335,1.35783,1.34335,1.3562,209055.43
20040420,1.35635,1.36329,1.35243,1.3579,203849.25
20040421,1.35795,1.36488,1.35361,1.35494,206809.99
20040422,1.35503,1.363,1.35101,1.36086,202404.01
20040425,1.35989,1.36242,1.3473,1.34782,216050.55
20040426,1.34758,1.35462,1.34613,1.3515,209164.42
20040427,1.35134,1.37571,1.34907,1.37477,197746.4
20040428,1.37471,1.37602,1.36661,1.36932,198556.66
20040429,1.36928,1.37893,1.36815,1.37176,195907.83
20040502,1.37142,1.37652,1.36955,1.37206,200757.32
20040503,1.37205,1.37344,1.36282,1.36863,200197.22
20040504,1.36885,1.37864,1.36731,1.37317,201671.53
20040505,1.37306,1.38045,1.3696,1.3787,201074.92
20040506,1.37855,1.38651,1.37477,1.38197,201410.65
20040509,1.38333,1.39593,1.38295,1.39067,198014.27
20040510,1.39059,1.3919,1.38444,1.38568,204982.31
20040511,1.38569,1.39053,1.38249,1.38662,204714.95
20040512,1.38642,1.39857,1.38604,1.39265,203002.07
20040513,1.39265,1.39679,1.38769,1.38896,202432.35
20040516,1.38773,1.39934,1.37432,1.39623,205888.87
20040517,1.39604,1.40003,1.38836,1.38999,197372.14
20040518,1.39027,1.3917,1.37404,1.37492,213123.89
20040519,1.37495,1.38139,1.366,1.36659,206937.07
20040520,1.36649,1.37488,1.36614,1.37311,204037.97
20040523,1.37233,1.37701,1.36468,1.37015,205310.43
20040524,1.36998,1.37756,1.36411,1.37113,213225
20040525,1.37122,1.37447,1.36345,1.37018,221478.22
20040526,1.37035,1.37149,1.35514,1.35633,194981.9
20040527,1.35648,1.36668,1.35534,1.36146,202103.86
20040530,1.36172,1.36416,1.35871,1.36141,170703.62
20040531,1.36118,1.37198,1.36018,1.36773,197318.35
20040601,1.36758,1.36833,1.35857,1.36094,198543.1
20040602,1.36065,1.3648,1.35661,1.3622,203932.86
20040603,1.36226,1.36484,1.34759,1.34945,200607.36
20040606,1.3497,1.3513,1.3431,1.34635,205181.57
20040607,1.34608,1.34945,1.33926,1.34835,196998.47
20040608,1.34902,1.36035,1.34529,1.35944,198756.44
20040609,1.35927,1.36226,1.35518,1.36,208884.13
20040610,1.35968,1.36887,1.35804,1.36367,201838.62
20040613,1.36305,1.37537,1.36247,1.37426,204170.26
20040614,1.37455,1.38138,1.3666,1.36758,199026.03
20040615,1.36725,1.37803,1.36576,1.37222,198424.06
20040616,1.3727,1.37837,1.36786,1.37044,204535.09
20040617,1.37041,1.37657,1.36152,1.36177,196262.06
20040620,1.36301,1.36769,1.35983,1.36469,204634.43
20040621,1.36455,1.36662,1.35553,1.3575,197507.6
20040622,1.35708,1.36281,1.35364,1.35961,215975.12
20040623,1.35947,1.36156,1.34049,1.34431,195857.94
20040624,1.34453,1.35078,1.34362,1.34943,194233.34
20040627,1.34953,1.35305,1.34208,1.34783,195005.44
20040628,1.34781,1.34909,1.33879,1.34381,220575.06
20040629,1.34381,1.34984,1.33134,1.33244,194182.05
20040630,1.33253,1.33612,1.32527,1.33192,195312.26
20040701,1.332,1.33574,1.32206,1.32273,196886.33
20040704,1.32275,1.32692,1.31999,1.32558,198553.56
20040705,1.32468,1.32839,1.31894,1.32745,205006.64
20040706,1.32738,1.32801,1.31718,1.32023,198459.24
20040707,1.31968,1.32692,1.3153,1.31743,196860.8
20040708,1.31725,1.32239,1.31321,1.31787,195766.26
20040711,1.31676,1.32079,1.31442,1.3169,201557.33
20040712,1.317,1.32985,1.31591,1.3177,195547.73
20040713,1.31792,1.32313,1.31631,1.32178,195734.84
20040714,1.32155,1.32709,1.32131,1.32269,194315.65
20040715,1.32296,1.32468,1.30544,1.31075,201256.04
20040718,1.31028,1.31137,1.30522,1.30697,201988.94
20040719,1.30753,1.31675,1.30605,1.31321,229921.9
20040720,1.31283,1.32678,1.31095,1.3205,204034.61
20040721,1.32061,1.32539,1.31157,1.31659,205317.89
20040722,1.31659,1.32285,1.31506,1.32045,196680.1
20040725,1.32127,1.33422,1.31509,1.33261,204047.84
20040726,1.33254,1.3381,1.32661,1.33087,197863.37
20040727,1.33085,1.33775,1.32576,1.32775,198013.72
20040728,1.32768,1.33655,1.3232,1.32402,195435.66
20040729,1.32378,1.33217,1.31821,1.33081,196905.98
20040801,1.32965,1.3327,1.32497,1.3319,208385.26
20040802,1.33193,1.3344,1.31558,1.31675,197720.95
20040803,1.31712,1.32277,1.31208,1.3152,197285.14
20040804,1.31508,1.3211,1.31298,1.31813,200451.95
20040805,1.31845,1.32248,1.30776,1.3117,190686.52
20040808,1.3119,1.31806,1.31007,1.31668,196616.36
20040809,1.3174,1.32221,1.31276,1.32048,190788.95
20040810,1.32028,1.32606,1.31884,1.3242,198036.43
20040811,1.32441,1.33328,1.32109,1.33069,195784.02
20040812,1.33063,1.33248,1.30722,1.30826,193815.73
20040815,1.30869,1.31248,1.3039,1.30616,200726.66
20040816,1.30625,1.30914,1.30142,1.30691,199379.53
20040817,1.3073,1.31094,1.30102,1.30333,192176.57
20040818,1.30293,1.3049,1.29494,1.29642,198451.34
20040819,1.29607,1.30046,1.29516,1.2976,194389.21
20040822,1.29695,1.30849,1.2966,1.30682,199655.43
20040823,1.30697,1.3092,1.30037,1.30585,194676.02
20040824,1.30619,1.3133,1.30201,1.30448,202402.64
20040825,1.30448,1.31492,1.30289,1.30646,200337.72
20040826,1.30669,1.31474,1.30431,1.31243,207916.45
20040829,1.31261,1.31956,1.3122,1.31728,201695.24
20040830,1.31743,1.32446,1.30958,1.31215,191109.96
20040831,1.31205,1.31642,1.30496,1.30701,195928.86
20040901,1.30699,1.30876,1.29809,1.29887,194728.23
20040902,1.29885,1.30302,1.29644,1.29965,191214.23
20040905,1.29937,1.3011,1.29657,1.29802,191325.61
20040906,1.29783,1.30065,1.28534,1.2866,190548.37
20040907,1.2864,1.29393,1.28634,1.2896,194666.37
20040908,1.28958,1.2928,1.28488,1.28818,193824.99
20040909,1.28805,1.29308,1.28471,1.29079,198296.38
20040912,1.29017,1.30163,1.28802,1.30062,198268.65
20040913,1.30085,1.30174,1.29073,1.29296,198155.72
20040914,1.29278,1.3032,1.2925,1.29584,193807.73
20040915,1.29592,1.29746,1.28784,1.28987,190672.94
20040916,1.28993,1.30519,1.28837,1.29676,195462.64
20040919,1.2968,1.30212,1.29204,1.29373,192849.24
20040920,1.29378,1.29579,1.28538,1.28665,192400.01
20040921,1.28658,1.28912,1.28102,1.28123,193262.28
20040922,1.2811,1.28421,1.27588,1.27924,194762.25
20040923,1.27895,1.2813,1.27201,1.27351,195904.56
20040926,1.27377,1.27735,1.27052,1.27178,207784.74
20040927,1.27187,1.27649,1.26891,1.27113,192319.97
20040928,1.27108,1.2726,1.26743,1.2699,192067.45
20040929,1.27001,1.2736,1.25886,1.26078,204908.08
20040930,1.26065,1.26434,1.25951,1.26057,195728.95
20041003,1.26117,1.27508,1.26117,1.27097,207504.44
20041004,1.27103,1.2742,1.25959,1.26064,195774.15
20041005,1.26084,1.26592,1.25718,1.25795,193847.98
20041006,1.25818,1.26187,1.25319,1.26046,194395.8
20041007,1.26037,1.26246,1.24953,1.25123,198495.35
20041010,1.25095,1.25587,1.24977,1.25482,193801.24
20041011,1.25475,1.25972,1.25277,1.25461,193991.96
20041012,1.2545,1.26859,1.2541,1.25541,195762.72
20041013,1.2554,1.25912,1.25065,1.25655,196322.59
20041014,1.25616,1.26175,1.25053,1.25244,196826.76
20041017,1.2528,1.25819,1.25106,1.25607,196461.95
20041018,1.25658,1.26127,1.25265,1.25817,191003.15
20041019,1.258,1.25899,1.24154,1.24472,196595.82
20041020,1.24465,1.24822,1.24063,1.24288,197379.65
20041021,1.24307,1.24449,1.23253,1.23334,195038.47
20041024,1.23354,1.23354,1.21713,1.22002,193263.51
20041025,1.22032,1.22747,1.21801,1.2245,188174.43
20041026,1.22447,1.22849,1.21688,1.22462,185992.7
20041027,1.22469,1.23425,1.21574,1.22232,186525.45
20041028,1.22243,1.22488,1.21684,1.21757,188969.77
20041031,1.21828,1.22512,1.21704,1.22195,185005.66
20041101,1.222,1.22722,1.22105,1.2255,183582.93
20041102,1.22553,1.22819,1.20701,1.20858,186292.94
20041103,1.20858,1.20926,1.20302,1.20646,187003.31
20041104,1.2066,1.21171,1.19586,1.19711,185504.34
20041107,1.19458,1.197,1.19011,1.19455,185771.42
20041108,1.1946,1.20048,1.19156,1.19918,181915.26
20041109,1.19917,1.20298,1.1926,1.19347,182924.87
20041110,1.19368,1.1993,1.19328,1.19547,181424.35
20041111,1.19543,1.19802,1.19066,1.19183,185520.07
20041114,1.19343,1.20446,1.19187,1.19962,183842.54
20041115,1.19981,1.20243,1.19075,1.1943,183598.67
20041116,1.19413,1.19555,1.18709,1.19391,183307.74
20041117,1.19412,1.20847,1.1902,1.20525,184040.73
20041118,1.2053,1.20668,1.19045,1.19314,183614.66
20041121,1.19315,1.19687,1.18218,1.18437,183302.5
20041122,1.18448,1.19084,1.1833,1.18472,186622.46
20041123,1.18492,1.18655,1.17795,1.17868,186239.12
20041124,1.17875,1.18125,1.17475,1.1772,177910.14
20041125,1.17755,1.1813,1.17156,1.17726,178237.14
20041128,1.17778,1.18672,1.1751,1.18442,179153.75
20041129,1.18447,1.19189,1.18356,1.18694,180690.92
20041130,1.18705,1.19186,1.18032,1.18331,177837.52
20041201,1.18363,1.19482,1.17929,1.19437,176385.36
20041202,1.19425,1.20054,1.18881,1.19046,181188.66
20041205,1.19123,1.20318,1.18834,1.19868,176137.28
20041206,1.19875,1.21099,1.19257,1.20805,176123.32
20041207,1.20815,1.23376,1.20683,1.21423,179709.02
20041208,1.21443,1.22746,1.21306,1.22245,179799.36
20041209,1.22249,1.23303,1.21881,1.2253,177478.64
20041212,1.22582,1.23293,1.21832,1.2267,179320.78
20041213,1.22678,1.24035,1.2258,1.23563,178329.53
20041214,1.23575,1.23813,1.22156,1.2244,179895.53
20041215,1.2244,1.23848,1.22272,1.23409,175410.85
20041216,1.23435,1.23597,1.22304,1.22817,175579.96
20041219,1.22755,1.2314,1.22357,1.22721,175312.27
20041220,1.2272,1.23142,1.2218,1.22975,176697.86
20041221,1.22972,1.24638,1.22646,1.24089,177103.56
20041222,1.24105,1.24207,1.23049,1.23188,177258.62
20041223,1.23205,1.23414,1.22707,1.23048,171884.55
20041226,1.23048,1.23306,1.21345,1.21838,170685.97
20041227,1.21845,1.22177,1.21256,1.21662,172739.72
20041228,1.21665,1.22066,1.2094,1.21148,174292.34
20041229,1.21155,1.21266,1.2008,1.20375,177271.34
